Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
"Erlotinib","1168","EGFR","EGFR signaling","cnaBRCA62","11","39",".71291980955330092","4.0378616444186699","3.1204803927508338","","",".11018541435209298",".91738125166783613","1.6618806976704825","1.1682402751448837",".042103622888409277","","","19.266548749322425","BRCA","GDSC2"
"Erlotinib","1168","EGFR","EGFR signaling","cnaBRCA63","8","42",".79228776657098832","4.1798620301484073","3.1589599324928708","","",".16897358230286011","1.0209020976555365","1.8429283924742399","1.1678893829588213",".045459337471153084","","","19.266548749322425","BRCA","GDSC2"
"Erlotinib","1168","EGFR","EGFR signaling","cnaBRCA64","9","41",".17248177768813966","3.132652064994041","3.3639352395351576","","",".72580514925147543","-.23128317454111658","1.8344668962260151","1.2184439358074162",".64150043607663387","","","52.813839674624717","BRCA","GDSC2"
"CCT-018159","1170","HSP90","Protein stability and degradation","cnaBRCA13","3","3",".39764420519218652","4.0385730702223066","3.3542587511764252","","",".65775018485004177",".68431431904588136","2.1099364146111652","1.2129746364962657",".65173239508068836","","","96.957821043809304","BRCA","GDSC2"
"CCT-018159","1170","HSP90","Protein stability and degradation","cnaBRCA15","3","3",".033130408619820757","3.6670815291574392","3.7257502922412922","","",".96960727127926227","-.058668763083852937","1.6561048233571349","1.8785869700803781",".969578210438093","","","96.957821043809304","BRCA","GDSC2"
"CCT-018159","1170","HSP90","Protein stability and degradation","cnaBRCA22","3","3",".092547646152670568","3.6145866654887437","3.7782451559099877","","",".91543260528003945","-.16365849042124392","1.5774459400714491","1.9406004065651357",".91521633155782378","","","96.957821043809304","BRCA","GDSC2"
"CCT-018159","1170","HSP90","Protein stability and degradation","cnaBRCA62","3","3",".57691601163460837","4.1781552595466529","3.2146765618520785","","",".52112647143955582",".96347869769457439","1.8683631748131491","1.4447679240080695",".51881572870707326","","","96.957821043809304","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","ARID1A_mut","5","45",".21585660785347002","4.0757294523208367","4.2928494512377338","","",".76089862558419874","-.21711999891689704","1.4649374633075336",".95321653290445618",".64908976098276261","","","76.067302215216856","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","ASH1L_mut","3","47",".85832994524620942","3.4748643809261051","4.3219633920111455","","",".2438200862865397","-.84709901108504049",".91063385205951808",".99009864429766792",".15596957225310468","","","69.833242588800928","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","BRCA1_mut","4","46",".011497898439419783","4.2818005898574061","4.2702102219102729","","",".97855736976381891",".011590367947133196",".75289777285748349","1.0227913859073214",".98249408942575334","","","81.449020384000917","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","BRCA2_mut","6","44",".0012333644102783421","4.2700433564196567","4.2712866461087335","","",".99721146858303955","-.0012432896890768319",".75288362558756006","1.0336375422562409",".99775049970401108","","","81.449020384000917","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","CDH1_mut","5","45",".32820298487441074","3.9748698703970851","4.3040560714514839","","",".62984636739852429","-.32918620105439889","1.3871700597449848",".96048118020041329",".48964650895389739","","","73.574326463049147","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","MACF1_mut","3","47",".11722353711425881","4.382169511472604","4.2640502985720081","","",".89615306128368499",".1181192129005959","1.3732748476728367",".98868101324384072",".84477467374743576","","","79.167412322927774","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","NF1_mut","4","46",".46293516866538154","4.6969810713890681","4.2341075713423022","","",".5011027229714895",".46287350004676586","1.1959176687798896",".98541085923891669",".37893513766297882","","","73.574326463049147","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","PIK3CA_mut","16","34",".13184642752695153","4.3613369868402767","4.2286906111134641","","",".67330219906287203",".13264637572681259","1.0446504130701191",".98803152692113971",".66558889438314739","","","76.067302215216856","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","POLR2B_mut","3","47",".03817814362323832","4.3073121584056429","4.268828427491175","","",".83815310355646588",".038483730914467884",".18763124509466098","1.0289406963669834",".94914730033878802","","","80.778493645854311","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","PTEN_mut","10","40",".3082954561066949","4.024462418353691","4.332806209594132","","",".34064415059775632","-.30834379124044098",".84897302818767273","1.0319045798501494",".38755410953172131","","","73.574326463049147","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","TP53_mut","38","12",".22838206900151092","4.2161564246996539","4.4452440357262768","","",".59589563431376957","-.22908761102662289",".85986634382424376","1.3797343837624094",".49370475378747847","","","73.574326463049147","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA5","6","44",".12561578477941693","4.1598025669099181","4.2863194810418799","","",".79829958381036203","-.12651691413196176","1.1016966654622469",".99560040547304773",".77409738972870135","","","79.167412322927774","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA7","4","46",".37562688448279596","3.9246487216855233","4.3012669060991326","","",".14639534099770823","-.37661818441360939",".36008995101573621","1.0313388196707209",".47466440228475115","","","73.574326463049147","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA8","4","46",".43833657377851393","4.6746909363018094","4.2360458439585855","","",".53166292356478029",".43864509234322391","1.226421642399306",".98381640370847911",".40458726909012177","","","73.574326463049147","BRCA","GDSC2"
"Rucaparib","1175","PARP1, PARP2","Genome integrity","cnaBRCA9","4","46",".41407114992235261","4.6526492551172893","4.237962511887674","","",".23810796495227893",".4146867432296153",".54265030318450547","1.0247972133551275",".43091538889070946","","","73.574326463049147","BRCA","GDSC2"
